t [s]	V [L]	P [bar]
0.000	0.282	1.130
0.010	0.258	1.287
0.020	0.234	1.512
0.030	0.212	1.782
0.040	0.211	2.041
0.050	0.211	2.223
0.060	0.208	2.257
0.070	0.220	2.159
0.080	0.234	1.958
0.090	0.252	1.703
0.100	0.288	1.453
0.110	0.314	1.242
0.120	0.327	1.076
0.130	0.345	0.978
0.140	0.345	1.000
0.150	0.344	1.005
0.160	0.339	0.995
0.170	0.314	1.007
0.180	0.288	1.091
0.190	0.268	1.233
0.200	0.238	1.448
0.210	0.221	1.698
0.220	0.214	1.973
0.230	0.205	2.183
0.240	0.206	2.262
0.250	0.216	2.208
0.260	0.223	2.036
0.270	0.246	1.791
0.280	0.274	1.527
0.290	0.298	1.301
0.300	0.324	1.125
0.310	0.343	1.002
0.320	0.346	0.953
0.330	0.344	0.944
0.340	0.341	0.948
0.350	0.326	0.988
0.360	0.297	1.061
0.370	0.273	1.179
0.380	0.245	1.370
0.390	0.224	1.615
0.400	0.218	1.889
0.410	0.211	2.125
0.420	0.200	2.257
0.430	0.209	2.237
0.440	0.228	2.090
0.450	0.242	1.870
0.460	0.269	1.605
0.470	0.297	1.365
0.480	0.314	1.174
0.490	0.336	1.022
0.500	0.342	0.981
0.510	0.349	1.000
0.520	0.340	1.005
0.530	0.325	0.981
0.540	0.304	1.032
0.550	0.276	1.144
0.560	0.256	1.311
0.570	0.232	1.536
0.580	0.222	1.806
0.590	0.208	2.066
0.600	0.204	2.232
0.610	0.212	2.257
0.620	0.215	2.149
0.630	0.234	1.943
0.640	0.258	1.684
0.650	0.285	1.434
0.660	0.315	1.223
0.670	0.332	1.066
0.680	0.346	0.973
0.690	0.348	0.991
0.700	0.347	1.005
0.710	0.337	0.991
0.720	0.313	1.012
0.730	0.293	1.100
0.740	0.259	1.252
0.750	0.238	1.458
0.760	0.218	1.723
0.770	0.208	1.987
0.780	0.206	2.193
0.790	0.208	2.262
0.800	0.209	2.193
0.810	0.228	2.007
0.820	0.259	1.767
0.830	0.280	1.507
0.840	0.301	1.287
0.850	0.328	1.105
0.860	0.342	0.997
0.870	0.348	0.995
0.880	0.350	1.000
0.890	0.335	1.000
0.900	0.322	0.992
0.910	0.298	1.071
0.920	0.268	1.203
0.930	0.245	1.389
0.940	0.225	1.649
0.950	0.207	1.914
0.960	0.207	2.149
0.970	0.202	2.262
0.980	0.213	2.228
0.990	0.229	2.076
1.000	0.245	1.840
1.010	0.274	1.581
1.020	0.291	1.345
1.030	0.318	1.149
1.040	0.340	1.022
1.050	0.348	0.991
1.060	0.349	1.000
1.070	0.341	1.000
1.080	0.326	0.978
1.090	0.305	1.032
1.100	0.274	1.164
1.110	0.249	1.326
1.120	0.233	1.566
1.130	0.216	1.831
1.140	0.209	2.085
1.150	0.210	2.242
1.160	0.207	2.252
1.170	0.215	2.134
1.180	0.237	1.929
1.190	0.258	1.664
1.200	0.291	1.419
1.210	0.313	1.208
1.220	0.333	1.051
1.230	0.347	0.969
1.240	0.345	0.949
1.250	0.344	0.944
1.260	0.331	0.968
1.270	0.311	1.017
1.280	0.290	1.120
1.290	0.257	1.267
1.300	0.241	1.483
1.310	0.225	1.742
1.320	0.208	2.017
1.330	0.209	2.203
1.340	0.205	2.267
1.350	0.221	2.174
1.360	0.227	1.992
1.370	0.252	1.737
1.380	0.279	1.492
1.390	0.303	1.272
1.400	0.331	1.095
1.410	0.342	0.988
1.420	0.348	0.991
1.430	0.348	1.000
1.440	0.332	0.986
1.450	0.318	0.992
1.460	0.291	1.086
1.470	0.267	1.213
1.480	0.244	1.419
1.490	0.227	1.664
1.500	0.208	1.948
1.510	0.201	2.159
1.520	0.208	2.267
1.530	0.218	2.213
1.540	0.225	2.056
1.550	0.247	1.816
1.560	0.272	1.561
1.570	0.296	1.326
1.580	0.321	1.149
1.590	0.335	1.012
1.600	0.349	0.958
1.610	0.348	0.939
1.620	0.342	0.944
1.630	0.324	0.978
1.640	0.305	1.051
1.650	0.276	1.164
1.660	0.246	1.360
1.670	0.227	1.586
1.680	0.215	1.865
1.690	0.206	2.105
1.700	0.207	2.252
1.710	0.215	2.237
1.720	0.218	2.115
1.730	0.240	1.885
1.740	0.269	1.635
1.750	0.289	1.390
1.760	0.317	1.194
1.770	0.337	1.037
1.780	0.345	0.968
1.790	0.349	0.934
1.800	0.340	0.944
1.810	0.326	0.958
1.820	0.310	1.027
1.830	0.284	1.125
1.840	0.255	1.296
1.850	0.238	1.512
1.860	0.213	1.791
1.870	0.205	2.046
1.880	0.208	2.233
1.890	0.207	2.252
1.900	0.222	2.159
1.910	0.236	1.958
1.920	0.257	1.708
1.930	0.288	1.443
1.940	0.307	1.243
1.950	0.334	1.066
1.960	0.343	0.988
1.970	0.345	0.948
1.980	0.346	0.948
1.990	0.339	0.953
